author|Aish, Robert
title|First Build Your Tools
in|Designing Coding Building
year|2013
pages|48
tag|fazit + computer + design + intrinsisch + aspekt + kreativität + merkmal + feature + leichtigkeit + bewegen + intuition + logik + unterscheidung + rolle + entwickler + professionel + verwischt + blur + unklar + polyvalent + user + nutzer + final + ebene + script + repräsentation + einzigartig + zuerst + bevor + bauen + werkzeug
quote|This leads to two important conclusions: First, computational design is now recognised as an intrinsic aspect of design creativity so that the mark of the accomplished designer is that he can move effortlessly between intuition and logic. Second, the distinction between the role of the professional software developer and the designer (as an end-user programmer) has been blurred. Now we can all create that final layer of scripting that represents our unique design logic, so that we can all say: 'Before I design I will first build my tools.'
image|
