author|Bense, Max
title|projekte generativer ästhetik
in|Computer-Grafik
year|1965
pages|1
tag|generativ + ästhetik + element + zeichen + operation + zusammenfassung + regeln + theorem + anwewndung + menge + material + zustand + verteilung + gestaltung + gestalt + methode + erzeugen + analog + grammatik + schema + realisation + struktur
quote|Unter generative ästhetik ist die zusammenfassung aller operationen, regeln und theoreme zu verstehen, durch deren Anwendung auf eine Menge materialer elemente, die als zeichen fungieren KÖNNEN, in dieser ästhetische zustände (verteilungen bzw. gestaltungen) bewusst und methodisch erzeugbar sind. Generative ästhetik ist also in dem sinne ein analogon zur generativen grammatik, als sie, wie diese sätze eines grammatischen schema realisation einer ästhetischen struktur liefert.
image|
dateAdded|20181105_0949
