author|n.a.
title|
in|
year|
pages|
tag|paris + haus + schichtung + realitäten + mischung + kombination + flexibilität + konvention + gleichzeitigkeit
quote|"Coupe d'une maison Parisienne
Cinq étages du monde parisien"
image|./dict/S/schichtung/n.a.__20190129_2358.jpg
dateAdded|20190129_2358
