author|Leopold, Cornelie
title|Strukturelles Denken als Methode
in|Strukturelle Architektur. Zur Aktualität eines Denkens zwischen Technik und Ästhetik. 
year|2012
pages|20
tag|axiom + axiomatisierung + euklid + euklidisch + geometrie + system + ding + punkt + gerade + ebene + beziehung + liegen + inzidenz + zwischen + anordnung + kongruenz + qualia + implizit + verknüpfung + mathematik + erkenntnis + system + definition
quote|"Grundlegend für diesen Standpunkt war die Axiomatisierung der euklidischen Geometrie durch David Hilbert. Er verwendet hierfür ""drei verschiedene Systeme von Dingen"", nämlich Punkte, Geraden, und Ebenen, und ""drei Grundlegenden Beziehung"", liegen (Inzidenz), zwischen (Anordnung) und kongruent (Kongruenz). Dabei spielt es keine Rolle, was diese Dinge sind. Sie sind ausschließlich implizit durch ihre Verknüpfung in einem Axiomensystem definiert."
image|
dateAdded|20181105_1523
