author|Leopold, Cornelie
title|Strukturelles Denken als Methode
in|Strukturelle Architektur. Zur Aktualität eines Denkens zwischen Technik und Ästhetik. 
year|2012
pages|27
tag|Entwicklung + Mathematik + Kategorie + Theorie + Definition + Struktur + Begriff + Morphismus + Morphismen + Abbild + bewahren + projektion
quote|In der weiteren Entwicklung der der Mathematik entstand bereits in den 1940er Jahren die Kategorietheorie, die als allgemeine Theorie mathematischer Strukturen aufgefasst werden kann. Der Begriff Morphismen spielt in der Kathegorietheorie eine wichtige Rolle. Morphismen sind Abbildungen, die Strukturen bewahren.
image|
dateAdded|20181105_1551
