author|Otto, Frei
title|
in|
year|1975
pages|https://de.wikipedia.org/wiki/Multihalle
tag|Flexibel + gekrümmt + organisch + struktur + holz + groß + leer + riesig + funktion + nutzen + tot + rückseite + licht + dunkel + akustik + nachnutzung + einbettung + material + Promenade + Zugang + Schwelle + Natur + Bezug + kult + kultur + undefiniert + konnotation + image + ungewissheit
quote|Multihalle Mannheim, BUGA 1975, Herzogenriedpark
image|./dict/K/kult/Otto_1975_20181105_1106.jpg
dateAdded|20181105_1106
