author|n.a.
title|
in|
year|
pages|
tag|bild + rahmen + abbild + archetyp + ursprung + höhle + innen + außen
quote|"Lascaux - ""Das erste gerahmte Bild"""
image|./dict/R/rahmen/n.a.__20181105_2351.jpg
dateAdded|20181105_2351
