author|Marcq, Philippe
translator|
title|Das Subsystem der Annäherung
editor|
in|Spatiale und temporale Präpositionen im heutigen Deutsch und Französisch
location|
publisher|
year|1988
pages|18-20
tag|präposition + annäherung + dynamisch + spatial + raum + sprache
significance|primary
quote|"d y n a m i s c h : 1.1) Beide Teilnehmer sind einander zugewandt. Beide bewegen sich: ""Wir laufen einander entgegen."" 1.2) Ein Teilnehmer bewegt sich. Die Bewegung des anderen ist unbestimmt: ""Wir traten auf sie zu."" 2) Zwischen den Teilnehmern wird Kontakt hergestellt: ""Wir stießen sie an."" 3) Zwischen den Teilnehmern entsteht die Opposition ""überdeckend - überdeckt"": ""Gänsehaut legt sich über meinen Körper."" 4) Zwischen den Teilnehmern entsteht die Opposition ""umgebend - umgeben"": ""Wir versammeln uns um sie."" 5) Die Teilnehmer trennen sich: ""Aus der Küche begann sich ein Duft zu verbreiten.""  "
dateAdded|20180604_0000
