author|Seifert, Uwe
title|The Co-Evolution of Humans and Machines
in|Paradoxes of Interactivity
year|2008
pages|
tag|interaktivität + mensch + maschine + interaktion + pradoxon + entwicklung
quote|
image|
text|./dict/I/interaktivität/Seifert_2008_20190403_1541.pdf
dateAdded|20190403_1541
