author|Alexander, Christopher
title|
in|
year|
pages|
tag|impressionismus + kunst + system + theorie + paradigma + übersetzung + architektur + denken + denkweise 
quote|
image|./dict/S/system/Alexander__20190329_1753.JPG
dateAdded|20190329_1753
