author|Eisenman, Peter
title|Moderne, Postmoderne und Dekonstruktion - Ein Gespräch mit Charles Jencks
in|Aura und Exzeß - Zur Überwindung der Metaphysik der Architektur
year|1995
pages|252
tag|chirurg + zauberer + weg + architektur + neu + anders + klassisch + klassik + unterdrückung + hinein + schneiden + lobotomie 
quote|Der Weg zu einer anderen Architektur besteht nicht darin, die klassische zu unterdrücken, sondern in sie hineinzuschneiden, oder, um ein Bild Tafuris zu gebrauchen: man muß ein Chirurg sein, kein Zauberer.
image|
dateAdded|20181122_1248
