author|Schöffer, Nicolas
title|
in|The Cybernetic City
year|1955
pages|
tag|visualization + painting + university + vertical + metaphor
quote|
image|./dict/U/university/Schöffer_1955_20190114_1253.jpg
dateAdded|20190114_1253
