author|Alexander, CHristopher
title|
in|A Pattern Language
year|
pages|Pattern 249
tag|kontinuität + diskontinuität + ornament + ganz + teil + schwelle
quote|Continuity and Discontinuity through Ornament
image|./dict/O/ornament/Alexander__20190329_0947.JPG
dateAdded|20190329_0947
