author|wikipedia
title|
in|
year|
pages|https://en.wikipedia.org/wiki/Agent-based_model
tag|computation + agent + modell + simulation + aktion + interaktion + autonom + unabhängig + entität + organisation + gruppe + effekt + system + ganz
quote|An agent-based model (ABM) is a class of computational models for simulating the actions and interactions of autonomous agents (both individual or collective entities such as organizations or groups) with a view to assessing their effects on the system as a whole.
image|
dateAdded|20181210_0944
