author|Bense, Max
title|Kybernetik oder die Metatechnik der Maschine
in|Merkur 5
year|1951
pages|32
tag|Eindringen + Technik + Zone + unerreichbar + umwandlung + meta + grenze + materiell + bereich + gedanke + mathematik + denken + nachbildung + maschine + ausführung + algorithmus + kybernetik
quote|„Dieses Eindringen der Technik in Zonen, die bisher unerreichbar waren, und ihre Umwandlung in Metatechnik, die beständig die Grenzlinie zwischen den sog. materiellen und nichtmateriellen Bereichen verwischt, […].[…] Der Gedanke, mathematisches Denken technisch nachzubilden, durch Maschinen ausführen zu lassen und zu verkürzen, geht mindestens bis auf Pascal zurück.
image|
dateAdded|20181105_1619
