author|Leopold, Cornelie
title|Strukturelles Denken als Methode
in|Strukturelle Architektur. Zur Aktualität eines Denkens zwischen Technik und Ästhetik. 
year|2012
pages|26
tag|art + struktur + topologie + zusammenhang + verhältnis + relation + nachbarschaft + metrik + definition + unterschied + gebilde + pyramide + kugel + quader + amorph + äquivalent + gleich + band + möbius + möbiusband + kugel + torus + beispiel + verschieden
quote|Ganz andere Arten von Strukturen stellen topologische Strukturen dar. Es werden Zusammenhangsverhältnisse und Nachbarschaften betrachtet. Es wird keine Metrik definiert. Damit sind so unterschiedliche Gebilde wie Pyramide, Kugel, Quader oder ein zusammenhängendes amorphes Gebilde topologisch äquivalent, während ein einfaches Band und das Möbiusband sowie Kugel und Torus Beispiele für nicht äquivalenete Gebilde sind. 
image|
dateAdded|20181105_1544
