author|Bense, Max
title|projekte generativer ästhetik
in|Computer-Grafik
year|1965
pages|2
tag|topologie + topologisch + bezug + menge + element + künstlerisch + kunst + objekt + konstituieren + arbeit + zentral + begriff + umgebung + zusammenhang + kontext + offenheit + offen + abgeschlossenheit + geschlossen + einfach + kokmplex + komplexität + einfachheit + prinzip + gestaltung + verteilung
quote|"das topologische verfahren bezieht sich vorwiegend auf die ""mengen"" von elementen, die das künstlerische objekt konstituieren, und arbeitet mit so zentralen begriffen wie ""umgebung"" oder ""zusammenhang"", ""offenheit"" und ""abgeschlossenheit"", einfachheit und komplexität von mengen und elementen. das ""prinzip menge"" ist ein drittes neben ""gestaltung"" und ""verteilung""."
image|
dateAdded|20181105_1032
