author|Otto, Frei
title|
in|
year|1967
pages|https://www.ilek-uni-stuttgart.de/institut/ilek-geschichte/
tag|zelt + flexibel + material + holz + seil + wunderkammer + spuren + arbeit + mensch + zeugnis + objekte + warm + landschaft + decke + höhe + verlauf + 
quote|ILEK Stuttgart
image|./dict/W/wunderkammer/Otto_1967_20181105_1056.jpg
dateAdded|20181105_1056
