author|Wertheimer, Max
title|Untersuchungen zur Lehre der Gestalt
in|
year|1923
pages|
tag|gestalt + theorie + psychologie + wahrnehmung + körper + zusammen + getrennt + zusammengefasstheit + gruppierung + assoziation + zuordnung + kontext
quote|
image|
text|./dict/G/gestalt/Wertheimer_1923_20190402_1252.pdf
dateAdded|20190402_1252
