author|Bense, Max
title|projekte generativer ästhetik
in|Computer-Grafik
year|1965
pages|2-3
tag|ästhetik + struktur + generativ + information + innovation + aufweisen + wahrscheinlichkeit + definitiv + wirklichkeit + erzeugung + künstlich + norm + abweichen + exotik + exotisch + theoreme + programme + mittel + zentral + motiv + ziel + projekt
quote|"da nun ästhetische strukturen nur insofern ""ästhetische information"" enthalten, als sie innovationen aufweisen und diese natürlich stets nur eine wahrscheinlichkeit, keine definitive wirklichkeit darstellen, kann man sagen, dass die künstliche erzeugung von einer norm abwewichender wahrscheinlichkeit durch theoreme und programme das zentrale motiv der generativen ästhetik und ihrer projekte ist."
image|
dateAdded|20181105_1047
