author|wikipedia
title|
in|
year|
pages|https://de.wikipedia.org/wiki/Dualit%C3%A4t_(Mathematik)
tag|dualität + mathematik + verwandschaft + information + klasse + klassifizierung + untersuchung + abhängigkeit + ähnlichkeit + invers + umgekehrt + beziehung + dual + bidual + theorie + eigenschaft + übersetzung
quote|In vielen Bereichen der Mathematik kommt es oft vor, dass man zu jedem Objekt X der jeweils betrachteten Klasse ein weiteres Objekt konstruieren und zur Untersuchung von X heranziehen kann. Dieses Objekt wird dann mit X' oder ähnlich bezeichnet, um die Abhängigkeit von X zum Ausdruck zu bringen. Dazu gibt es ferner dieselbe, eine ähnliche oder eine umgekehrte Konstruktion, die auf X' angewendet werden kann, man erhält daraus ein mit X''=(X')' bezeichnetes Objekt. Häufig stehen X und X'' in einer engen Beziehung, weshalb X' Informationen über X enthalten muss. Man nennt dann X' das zu X duale und X'' das biduale Objekt. In der zugehörigen mathematischen Dualitätstheorie untersucht man dann, wie Eigenschaften von X zu Eigenschaften von X' übersetzt werden können und umgekehrt.
image|
dateAdded|20181105_1600
