author|Leopold, Cornelie
title|Strukturelles Denken als Methode
in|Strukturelle Architektur. Zur Aktualität eines Denkens zwischen Technik und Ästhetik. 
year|2012
pages|30
tag|struktur + wahrnehmung + zeichen + materialisierung + mittel + kanal + vermittlung
quote|"Wenn die Strukturen wahrnehmbar gemacht werden sollen, müssen diese durch Zeichen vermittelt werden, sie müssen sich materialisieren. Die Wahl der Mittel für das Zeichen entscheidet über
den Vermittlungskanal."
image|
dateAdded|20181105_1611
