author|Stuart, Matt
title|
in|
year|
pages|
tag|nähe + ausschnitt + zuordnung + assoziation + schlafen + ruhe + leise + fotografie + infrastruktur + ubahn
quote|
image|./dict/N/nähe/Stuart__20190329_1254.JPG
dateAdded|20190329_1254
