author|
title|
in|
year|
pages|
tag|hotel + relikt + ruine + überbleibsel + vegation + einbettung + kontext + post + apokalyptisch + brutalismus + vergessen + gerahmt + rahmen + homogenität
quote|Hotel Roman; in Baile  Herculane, Romania
image|./dict/R/relikt/__20190329_1314.jpg
dateAdded|20190329_1314
