author|Eco, Umberto
translator|
title|Der Interpretant
editor|
in|Zeichen
location|
publisher|
year|1973
pages|172
tag|sinn + interpretant + zeichen + übersetzung + weiterentwicklung + erkenntnis + definition + schlussfolgerung + Komponentenanalyse + bedeutung + Semem + Kategorien + Selektion + Verwendungsweise
significance|primary
quote|In diesem Sinn ist der Interpretant nicht ledigleich ein Zeichen, das ein anderes Zeichen übersetzt (auch wenn das nicht selten der Fall ist); er ist immer und in jedem Fall eine Weiterentwicklung des Zeichens, eine vom ursprünglichen Zeichen angeregte Erkenntniszunahme. Deutlich sichtbar wird das, wenn der Interpretant auftritt als Definition, Schlußfolgerung, Komponentenanalyse aller möglichen Bedeutungen eines Semems, Charakterisierung des Semems in Kategorien kontextureller und situationsabhängiger Selektionen und damit in Kategorien möglicher Verwendungsweisen des Zeichens.
dateAdded|20180607_1546
