author|Eco, Umberto
translator|
title|Der Interpretant
editor|
in|Zeichen
location|
publisher|
year|1973
pages|171
tag|interpretant + zeichen + form + substanz + signifikat + signifikant + mechanismus
significance|primary
quote|Er ist der semiotische Mechanismus, durch den von einem Signifikanten ein Signifikat prädiziert wird. Man bezeichnet als Interpretant jedes andere Zeichen oder jeden Zeichenkomplex (deren Ausdrucksform sich in jeder Aausdruckssubstanz realisieren kann), die in entsprechender Umgebung das erste Zeichen Übersetzen.
dateAdded|20180607_1518
