author|Leopold, Cornelie
title|Strukturelles Denken als Methode
in|Strukturelle Architektur. Zur Aktualität eines Denkens zwischen Technik und Ästhetik. 
year|2012
pages|23
tag|gruppe + mathematik + struktur + begriff + definition + algebra + menghe + element + verknüpfung + bedingung + erfüllen + assoziativität + existenz + neutral + invers + klassifizierung
quote|Eine Gruppe ist eine Menge von Elementen, in der eine Verknüpfung der Elemente definiert ist, die bestimmte Bedingungen erfüllt, wie Aossziativität, Existenz eines neutralen Elements und inverser Elemente.
image|
dateAdded|20181105_1530
