author|Waldenfels, Bernhard
title|Zeichen und Phänomene
in|Zeitschrift für Semiotik
year|1994
pages|188
tag|melodie + musik + tonart + transponieren + geige + fagott + material + spiel + materialität + type + token + klasse + instanz + objekt + zeichen
quote|Eine Melodie kann zwar von einer Tonart in die andere transponiert und auf der Geige oder auf dem Fagott gespielt werden, doch sie kann niemals von ihrem Material abgelöst werden wie eine Type von einem beliebeigen Token.
image|
dateAdded|20190207_1250
