author|Seifert, Uwe
title|The Co-Evolution of Humans and Machines
in|Paradoxies of Interactivity
year|2008
pages|11
tag|unterschied + ding + objekt + interaktion + interagieren + nur + bedingung + wenn + akt + agieren + einwirken + gegenseitig + wechsel + wechselseitig + beiderseitig
quote|Two different things interact if and only If each acts upon the other.
image|
text|
dateAdded|20190403_1536
