author|Bense, Max
title|projekte generativer ästhetik
in|Computer-Grafik
year|1965
pages|2
tag|statik + verfahren + begriff + häufigkeit + wahrscheinlichkeit + auftreten + elemente + numerik + bewertung + merkmal + gestalt + menge + gestaltung + arbeit + mikro + ästhetik + mikroästhetik + aufbau + kunst + werk + objekt + präparieren + prinzip + verteilung
quote|"das statische verfahren, das mit dem begriff der ""häufigkeit"" bzw. der ""wahrscheinlichkeit"" auftretender elemente oder numerisch bewerteter merkmale von elementen in deren gestalteten mengen arbeitet, erreicht vor allem den mikroästhetischen aufbau eines kunstwerks und präpariert nicht sein ""prinzip gestaltung"", sondern ein ""prinzip verteilung""."
image|
dateAdded|20181105_1027
