author|Leopold, Cornelie
title|Strukturelles Denken als Methode
in|Strukturelle Architektur. Zur Aktualität eines Denkens zwischen Technik und Ästhetik. 
year|2012
pages|22
tag|mathematik + allgemein + struktur + wissenschaft + gründung + begriff + menge + relation + transformation + element + relation + ordnung + ordnungsstruktur + graph + visualisierung
quote|Die Mathematik als allgemeine Strukturwissenschaft gründete sich auf die Begriffe Menge, Relation und Transformation. Ist in einer Menge von Elementen eine Relation definiert, so entsteht eine Ordnungsstruktur, die z.B. in einem Graphen visualisiert werden kann. 
image|
dateAdded|20181105_1528
